bin_low,bin_high,bin_center,SM,SM_MCerr,EFT,EFT_MCerr,SM_over_EFT,SM_over_EFT_MCerr
1.600000000000000000e+02,1.760000000000000000e+02,1.680000000000000000e+02,2.554683777187731031e-04,5.868418595532728681e-07,2.579933483437505271e-04,5.918668071004425201e-07,1.009883691467117650e+00,3.278583491624421573e-03
1.760000000000000000e+02,1.920000000000000000e+02,1.840000000000000000e+02,3.301164455313946905e-04,6.670925162127811295e-07,3.305269395312537264e-04,6.699224767484653523e-07,1.001243482429959641e+00,2.865655425851600883e-03
1.920000000000000000e+02,2.080000000000000000e+02,2.000000000000000000e+02,3.098553142188878277e-04,6.462967493526040627e-07,3.118555476563747734e-04,6.507240946426034721e-07,1.006455378835535930e+00,2.969393529801714511e-03
2.080000000000000000e+02,2.240000000000000000e+02,2.160000000000000000e+02,2.729134007188713414e-04,6.065476133988676678e-07,2.750780373441572783e-04,6.111506286567747541e-07,1.007931587894123737e+00,3.167468158483129070e-03
2.240000000000000000e+02,2.400000000000000000e+02,2.320000000000000000e+02,2.344914033751048857e-04,5.622325146833188294e-07,2.369839783128806481e-04,5.672561864511170890e-07,1.010629707110364706e+00,3.423986212304715431e-03
2.400000000000000000e+02,2.560000000000000000e+02,2.480000000000000000e+02,1.996592304375885332e-04,5.187966966655308257e-07,2.012423089690726797e-04,5.227323152865667074e-07,1.007928902300257112e+00,3.703214280237440269e-03
2.560000000000000000e+02,2.720000000000000000e+02,2.640000000000000000e+02,1.699711824375759947e-04,4.786743322523118734e-07,1.709137132502754324e-04,4.817360742750989077e-07,1.005545238899809402e+00,4.006500871421813693e-03
2.720000000000000000e+02,2.880000000000000000e+02,2.800000000000000000e+02,1.435036282185437120e-04,4.398290691086617269e-07,1.442226187189825717e-04,4.425238046626073019e-07,1.005010260084462148e+00,4.358607696076401833e-03
2.880000000000000000e+02,3.040000000000000000e+02,2.960000000000000000e+02,1.209467663744548133e-04,4.037844866526281926e-07,1.219189915314510680e-04,4.068695922510056593e-07,1.008038455149649959e+00,4.758408633105625646e-03
3.040000000000000000e+02,3.200000000000000000e+02,3.120000000000000000e+02,1.010657921557953955e-04,3.691090013759441158e-07,1.022375866251679609e-04,3.725846105570943227e-07,1.011594372778142459e+00,5.219204271811455145e-03
3.200000000000000000e+02,3.360000000000000000e+02,3.280000000000000000e+02,8.643809956211103915e-05,3.413540553691155327e-07,8.654208262514305472e-05,3.427955822138586009e-07,1.001202977200549071e+00,5.600050979088309205e-03
3.360000000000000000e+02,3.520000000000000000e+02,3.440000000000000000e+02,7.285788687467174840e-05,3.133940704037901048e-07,7.308453803137006030e-05,3.150168344470306652e-07,1.003110866461007777e+00,6.108374049911714267e-03
3.520000000000000000e+02,3.680000000000000000e+02,3.600000000000000000e+02,6.174054612472293369e-05,2.884946262137098637e-07,6.240005387510337911e-05,2.910811824078386178e-07,1.010681922849340664e+00,6.673105990228582647e-03
3.680000000000000000e+02,3.840000000000000000e+02,3.760000000000000000e+02,5.238644928101405390e-05,2.657430881302181611e-07,5.262769815633696474e-05,2.673181023929776384e-07,1.004605177076018041e+00,7.211724070635566058e-03
3.840000000000000000e+02,4.000000000000000000e+02,3.920000000000000000e+02,4.470394753104851848e-05,2.454853149244851685e-07,4.497565756257388553e-05,2.471191547237856898e-07,1.006077987438059207e+00,7.815395238984198037e-03
4.000000000000000000e+02,4.160000000000000000e+02,4.080000000000000000e+02,3.763478793733076450e-05,2.252409352928827388e-07,3.816842787506252027e-05,2.276533919088168235e-07,1.014179432567027250e+00,8.569291616896587346e-03
4.160000000000000000e+02,4.320000000000000000e+02,4.240000000000000000e+02,3.188535868735645207e-05,2.073233373597794029e-07,3.230465237505321038e-05,2.094352948840676398e-07,1.013150038292121247e+00,9.302732585139465715e-03
4.320000000000000000e+02,4.480000000000000000e+02,4.400000000000000000e+02,2.723593446862706408e-05,1.916123957370739481e-07,2.757331740629561170e-05,1.934935140350071398e-07,1.012387419203742756e+00,1.005985671476373154e-02
4.480000000000000000e+02,4.640000000000000000e+02,4.560000000000000000e+02,2.290466703114670335e-05,1.757172966078523888e-07,2.322140737503856911e-05,1.775682695937444620e-07,1.013828637782035802e+00,1.098156864488217081e-02
4.640000000000000000e+02,4.800000000000000000e+02,4.720000000000000000e+02,1.929189812491368880e-05,1.612649436917673745e-07,1.967974543753232483e-05,1.634653181324059441e-07,1.020104155128093160e+00,1.202124571601019890e-02
4.800000000000000000e+02,4.960000000000000000e+02,4.880000000000000000e+02,1.644077621867565120e-05,1.488722014181698949e-07,1.677422575002782829e-05,1.509172771861493335e-07,1.020281860595693812e+00,1.302367483870382585e-02
4.960000000000000000e+02,5.120000000000000000e+02,5.040000000000000000e+02,1.404529762493713849e-05,1.375998396313987270e-07,1.402337725002261379e-05,1.379890989889350175e-07,9.984393086212992596e-01,1.386367374444189525e-02
5.120000000000000000e+02,5.280000000000000000e+02,5.200000000000000000e+02,1.198412781244512920e-05,1.271029270346869487e-07,1.194441165626967949e-05,1.273496461932566535e-07,9.966859368660766494e-01,1.498881781096846923e-02
5.280000000000000000e+02,5.440000000000000000e+02,5.360000000000000000e+02,1.015079540620487941e-05,1.169775676299201996e-07,1.016588246876594381e-05,1.174874408509508384e-07,1.001486293630925006e+00,1.634501540481168511e-02
5.440000000000000000e+02,5.600000000000000000e+02,5.520000000000000000e+02,8.336323656212354938e-06,1.060082896222199556e-07,8.699512343764235350e-06,1.086845528245220272e-07,1.043567008975380572e+00,1.860323560267804904e-02
5.600000000000000000e+02,5.760000000000000000e+02,5.680000000000000000e+02,7.070506749968022420e-06,9.762876492695873574e-08,7.123164000012727204e-06,9.834653799198784133e-08,1.007447450643469411e+00,1.967179973602281931e-02
5.760000000000000000e+02,5.920000000000000000e+02,5.840000000000000000e+02,5.835702281223233839e-06,8.869504018820423642e-08,6.001387312508724148e-06,9.026945016898215021e-08,1.028391618232237903e+00,2.199039071315764607e-02
5.920000000000000000e+02,6.080000000000000000e+02,6.000000000000000000e+02,5.047091906227197528e-06,8.248467991171471313e-08,4.991245250008432416e-06,8.232304665774461202e-08,9.889348842350462743e-01,2.296223289184570401e-02
6.080000000000000000e+02,6.240000000000000000e+02,6.160000000000000000e+02,4.088628093732154384e-06,7.424058810567329988e-08,4.165698312507196133e-06,7.520737193018430774e-08,1.018849897082395373e+00,2.608837166798978410e-02
6.240000000000000000e+02,6.400000000000000000e+02,6.320000000000000000e+02,3.336413437486120126e-06,6.706443348115987801e-08,3.495095125004721998e-06,6.888981286928983289e-08,1.047560558813167786e+00,2.949103988634808882e-02
6.400000000000000000e+02,6.560000000000000000e+02,6.480000000000000000e+02,2.845729343736030925e-06,6.193690157139258956e-08,2.907007656255747308e-06,6.282581309894438638e-08,1.021533429612552890e+00,3.133263346477149075e-02
6.560000000000000000e+02,6.720000000000000000e+02,6.640000000000000000e+02,2.191925437490006845e-06,5.435825496433790915e-08,2.205164062503948974e-06,5.472026218843471521e-08,1.006039724156448489e+00,3.529422622329832226e-02
6.720000000000000000e+02,6.880000000000000000e+02,6.800000000000000000e+02,1.786161499991480162e-06,4.906963021841832768e-08,1.826274656253380757e-06,4.979723467222957437e-08,1.022457743189567170e+00,3.957601434614955310e-02
6.880000000000000000e+02,7.040000000000000000e+02,6.960000000000000000e+02,1.449149687494325628e-06,4.419865113515049473e-08,1.451518406252357007e-06,4.439499085656843218e-08,1.001634557684739191e+00,4.326420663846890224e-02
7.040000000000000000e+02,7.200000000000000000e+02,7.120000000000000000e+02,1.206502843744631376e-06,4.032894234630545470e-08,1.212580156252467123e-06,4.057747352304728049e-08,1.005037130695004111e+00,4.753666995022465952e-02
7.200000000000000000e+02,7.360000000000000000e+02,7.280000000000000000e+02,9.611534374960595262e-07,3.599547913646034585e-08,8.948642812502821675e-07,3.485898529114217771e-08,9.310316608569075836e-01,5.030998367632669860e-02
7.360000000000000000e+02,7.520000000000000000e+02,7.440000000000000000e+02,6.902001874970267736e-07,3.050282707831284772e-08,7.019997812526650172e-07,3.087393470637494176e-08,1.017095900536377551e+00,6.341463202555096268e-02
7.520000000000000000e+02,7.680000000000000000e+02,7.600000000000000000e+02,6.012289062466355527e-07,2.846901384336046968e-08,5.920123750001102247e-07,2.835226872461397606e-08,9.846705120948650025e-01,6.631544536753063157e-02
7.680000000000000000e+02,7.840000000000000000e+02,7.760000000000000000e+02,4.556393749977245833e-07,2.478351477176887788e-08,4.330916562509355694e-07,2.424849274711691546e-08,9.505141127302669801e-01,7.419723190592736328e-02
7.840000000000000000e+02,8.000000000000000000e+02,7.920000000000000000e+02,3.531885625000612261e-07,2.182006227481153757e-08,3.666093750000209983e-07,2.231115024083818011e-08,1.037999000887684264e+00,9.001613463196304898e-02
