bin_low,bin_high,bin_center,SM,SM_MCerr,EFT,EFT_MCerr,SM_over_EFT,SM_over_EFT_MCerr
-5.001000000000000334e+00,-4.750950000000000450e+00,-4.875975000000000392e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-4.750950000000000450e+00,-4.500900000000000567e+00,-4.625925000000000509e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-4.500900000000000567e+00,-4.250850000000000684e+00,-4.375875000000000625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-4.250850000000000684e+00,-4.000799999999999912e+00,-4.125825000000000742e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-4.000799999999999912e+00,-3.750750000000000473e+00,-3.875774999999999970e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-3.750750000000000473e+00,-3.500700000000000145e+00,-3.625725000000000087e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-3.500700000000000145e+00,-3.250650000000000261e+00,-3.375675000000000203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-3.250650000000000261e+00,-3.000600000000000378e+00,-3.125625000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-3.000600000000000378e+00,-2.750550000000000495e+00,-2.875575000000000436e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-2.750550000000000495e+00,-2.500500000000000611e+00,-2.625525000000000553e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-2.500500000000000611e+00,-2.250450000000000284e+00,-2.375475000000000669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-2.250450000000000284e+00,-2.000400000000000400e+00,-2.125425000000000342e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-2.000400000000000400e+00,-1.750350000000000517e+00,-1.875375000000000458e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-1.750350000000000517e+00,-1.500300000000000189e+00,-1.625325000000000353e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-1.500300000000000189e+00,-1.250250000000000306e+00,-1.375275000000000247e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-1.250250000000000306e+00,-1.000200000000000422e+00,-1.125225000000000364e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-1.000200000000000422e+00,-7.501500000000005386e-01,-8.751750000000004803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-7.501500000000005386e-01,-5.001000000000006551e-01,-6.251250000000005969e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-5.001000000000006551e-01,-2.500500000000007716e-01,-3.750750000000007134e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-2.500500000000007716e-01,-8.881784197001252323e-16,-1.250250000000008299e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
-8.881784197001252323e-16,2.500499999999998835e-01,1.250249999999994976e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.500499999999998835e-01,5.000999999999997669e-01,3.750749999999998252e-01,1.756085782843431846e-05,1.175962019820245128e-06,1.379424915016996795e-05,1.045739329419685390e-06,1.273056448180649225e+00,1.287703448619472446e-01
5.000999999999997669e-01,7.501499999999996504e-01,6.251249999999997087e-01,3.387198194361071626e-03,1.633205155833374931e-05,3.374035332933411797e-03,1.635493478052210545e-05,1.003901222165393348e+00,6.863706197881078511e-03
7.501499999999996504e-01,1.000199999999999534e+00,8.751749999999995921e-01,1.086143150170148022e-02,2.924583308978086153e-05,1.091202381123895955e-02,2.941214257610638339e-05,9.953636181140503858e-01,3.792241771677687476e-03
1.000199999999999534e+00,1.250249999999999417e+00,1.125224999999999476e+00,1.762086691461837995e-02,3.725067130272660020e-05,1.773215690261215061e-02,3.749339645914672304e-05,9.937238324358963482e-01,2.971192111576577075e-03
1.250249999999999417e+00,1.500299999999999301e+00,1.375274999999999359e+00,2.218409077582003328e-02,4.179663059233701893e-05,2.242893132372527146e-02,4.216754252015691621e-05,9.890837176158167043e-01,2.632589973591272555e-03
1.500299999999999301e+00,1.750349999999999184e+00,1.625324999999999243e+00,2.396403761649933128e-02,4.344106397457805576e-05,2.411888218960243219e-02,4.372729261384972562e-05,9.935799440502324220e-01,2.547333181713947424e-03
1.750349999999999184e+00,2.000399999999999956e+00,1.875374999999999570e+00,2.268563828437854951e-02,4.226646791419673313e-05,2.283245204964118660e-02,4.254517149892548031e-05,9.935699518849994138e-01,2.618091298240982599e-03
2.000399999999999956e+00,2.250449999999999839e+00,2.125424999999999898e+00,1.925749127177602688e-02,3.894218503704500653e-05,1.938167527897929898e-02,3.919851772764278668e-05,9.935927103609067945e-01,2.841664915356643169e-03
2.250449999999999839e+00,2.500499999999999723e+00,2.375474999999999781e+00,1.465378957410880083e-02,3.396999121252835619e-05,1.482918621071207567e-02,3.428725031233660549e-05,9.881722008132466373e-01,3.235405926954326890e-03
2.500499999999999723e+00,2.750549999999999606e+00,2.625524999999999665e+00,1.040713115978481214e-02,2.862766604679940790e-05,1.036501084979801236e-02,2.866545748211149659e-05,1.004063701485427895e+00,3.916529629502394846e-03
2.750549999999999606e+00,3.000599999999999490e+00,2.875574999999999548e+00,6.551223499310715286e-03,2.271337302624486988e-05,6.578655882803160528e-03,2.283718679589432293e-05,9.958300929580228278e-01,4.885766884837862423e-03
3.000599999999999490e+00,3.250649999999999373e+00,3.125624999999999432e+00,3.570446318741983451e-03,1.676801871922315511e-05,3.628197400508696192e-03,1.695974935999432903e-05,9.840827068123096932e-01,6.520679488560138237e-03
3.250649999999999373e+00,3.500699999999999257e+00,3.375674999999999315e+00,1.655052063589958124e-03,1.141632432529445185e-05,1.676077250544733823e-03,1.152712485527056370e-05,9.874557172421841722e-01,9.618434301205694426e-03
