run,fM2_over_Lambda4_TeV^-4,sigma_total_pb,bin_low_GeV,bin_high_GeV,bin_center_GeV,counts,dsigma_dMZZ_pb_per_GeV
run_08,1,1.171800000000e-06,180.000000,205.000000,192.500000,1504,7.049548800000e-11
run_08,1,1.171800000000e-06,205.000000,231.000000,218.000000,3903,1.759052076923e-10
run_08,1,1.171800000000e-06,231.000000,256.000000,243.500000,6361,2.981527920000e-10
run_08,1,1.171800000000e-06,256.000000,282.000000,269.000000,9954,4.486191230769e-10
run_08,1,1.171800000000e-06,282.000000,307.000000,294.500000,13530,6.341781600000e-10
run_08,1,1.171800000000e-06,307.000000,333.000000,320.000000,18951,8.541069923077e-10
run_08,1,1.171800000000e-06,333.000000,358.000000,345.500000,23235,1.089070920000e-09
run_08,1,1.171800000000e-06,358.000000,384.000000,371.000000,29576,1.332967569231e-09
run_08,1,1.171800000000e-06,384.000000,409.000000,396.500000,33711,1.580101992000e-09
run_08,1,1.171800000000e-06,409.000000,435.000000,422.000000,40425,1.821923653846e-09
run_08,1,1.171800000000e-06,435.000000,460.000000,447.500000,43797,2.052852984000e-09
run_08,1,1.171800000000e-06,460.000000,486.000000,473.000000,50022,2.254453061538e-09
run_08,1,1.171800000000e-06,486.000000,511.000000,498.500000,52278,2.450374416000e-09
run_08,1,1.171800000000e-06,511.000000,537.000000,524.000000,57018,2.569757400000e-09
run_08,1,1.171800000000e-06,537.000000,562.000000,549.500000,57386,2.689796592000e-09
run_08,1,1.171800000000e-06,562.000000,588.000000,575.000000,60644,2.733178430769e-09
run_08,1,1.171800000000e-06,588.000000,613.000000,600.500000,58168,2.726450496000e-09
run_08,1,1.171800000000e-06,613.000000,639.000000,626.000000,59498,2.681529092308e-09
run_08,1,1.171800000000e-06,639.000000,664.000000,651.500000,55162,2.585553264000e-09
run_08,1,1.171800000000e-06,664.000000,690.000000,677.000000,54207,2.443067792308e-09
run_08,1,1.171800000000e-06,690.000000,715.000000,702.500000,47985,2.249152920000e-09
run_08,1,1.171800000000e-06,715.000000,741.000000,728.000000,45413,2.046728976923e-09
run_08,1,1.171800000000e-06,741.000000,766.000000,753.500000,38302,1.795291344000e-09
run_08,1,1.171800000000e-06,766.000000,792.000000,779.000000,34163,1.539700130769e-09
run_08,1,1.171800000000e-06,792.000000,817.000000,804.500000,27305,1.279839960000e-09
run_08,1,1.171800000000e-06,817.000000,843.000000,830.000000,23254,1.048039892308e-09
run_08,1,1.171800000000e-06,843.000000,868.000000,855.500000,17193,8.058702960000e-10
run_08,1,1.171800000000e-06,868.000000,894.000000,881.000000,13190,5.944631538462e-10
run_08,1,1.171800000000e-06,894.000000,919.000000,906.500000,9215,4.319254800000e-10
run_08,1,1.171800000000e-06,919.000000,945.000000,932.000000,6356,2.864600307692e-10
run_08,1,1.171800000000e-06,945.000000,970.000000,957.500000,3811,1.786291920000e-10
run_08,1,1.171800000000e-06,970.000000,996.000000,983.000000,2304,1.038395076923e-10
run_08,1,1.171800000000e-06,996.000000,1021.000000,1008.500000,1221,5.723071200000e-11
run_08,1,1.171800000000e-06,1021.000000,1047.000000,1034.000000,621,2.798799230769e-11
run_08,1,1.171800000000e-06,1047.000000,1072.000000,1059.500000,235,1.101492000000e-11
run_08,1,1.171800000000e-06,1072.000000,1098.000000,1085.000000,88,3.966092307692e-12
run_08,1,1.171800000000e-06,1098.000000,1123.000000,1110.500000,12,5.624640000000e-13
run_08,1,1.171800000000e-06,1123.000000,1149.000000,1136.000000,2,9.013846153846e-14
run_08,1,1.171800000000e-06,1149.000000,1174.000000,1161.500000,0,0.000000000000e+00
run_08,1,1.171800000000e-06,1174.000000,1200.000000,1187.000000,0,0.000000000000e+00
run_09,5,2.929300000000e-05,180.000000,205.000000,192.500000,1438,1.684933360000e-09
run_09,5,2.929300000000e-05,205.000000,231.000000,218.000000,3853,4.340997269231e-09
run_09,5,2.929300000000e-05,231.000000,256.000000,243.500000,6394,7.491977680000e-09
run_09,5,2.929300000000e-05,256.000000,282.000000,269.000000,9884,1.113584661538e-08
run_09,5,2.929300000000e-05,282.000000,307.000000,294.500000,13473,1.578658356000e-08
run_09,5,2.929300000000e-05,307.000000,333.000000,320.000000,18969,2.137149680769e-08
run_09,5,2.929300000000e-05,333.000000,358.000000,345.500000,22786,2.669881192000e-08
run_09,5,2.929300000000e-05,358.000000,384.000000,371.000000,29467,3.319910888462e-08
run_09,5,2.929300000000e-05,384.000000,409.000000,396.500000,34092,3.994627824000e-08
run_09,5,2.929300000000e-05,409.000000,435.000000,422.000000,40490,4.561821423077e-08
run_09,5,2.929300000000e-05,435.000000,460.000000,447.500000,43971,5.152170012000e-08
run_09,5,2.929300000000e-05,460.000000,486.000000,473.000000,50153,5.650507034615e-08
run_09,5,2.929300000000e-05,486.000000,511.000000,498.500000,52500,6.151530000000e-08
run_09,5,2.929300000000e-05,511.000000,537.000000,524.000000,57173,6.441418034615e-08
run_09,5,2.929300000000e-05,537.000000,562.000000,549.500000,57662,6.756371864000e-08
run_09,5,2.929300000000e-05,562.000000,588.000000,575.000000,60768,6.846450092308e-08
run_09,5,2.929300000000e-05,588.000000,613.000000,600.500000,58103,6.808044716000e-08
run_09,5,2.929300000000e-05,613.000000,639.000000,626.000000,59033,6.650975650000e-08
run_09,5,2.929300000000e-05,639.000000,664.000000,651.500000,55583,6.512771276000e-08
run_09,5,2.929300000000e-05,664.000000,690.000000,677.000000,54243,6.111308457692e-08
run_09,5,2.929300000000e-05,690.000000,715.000000,702.500000,47738,5.593556936000e-08
run_09,5,2.929300000000e-05,715.000000,741.000000,728.000000,44869,5.055183142308e-08
run_09,5,2.929300000000e-05,741.000000,766.000000,753.500000,38410,4.500576520000e-08
run_09,5,2.929300000000e-05,766.000000,792.000000,779.000000,34331,3.867915319231e-08
run_09,5,2.929300000000e-05,792.000000,817.000000,804.500000,27161,3.182508692000e-08
run_09,5,2.929300000000e-05,817.000000,843.000000,830.000000,22863,2.575868688462e-08
run_09,5,2.929300000000e-05,843.000000,868.000000,855.500000,17098,2.003406856000e-08
run_09,5,2.929300000000e-05,868.000000,894.000000,881.000000,13312,1.499801600000e-08
run_09,5,2.929300000000e-05,894.000000,919.000000,906.500000,9096,1.065796512000e-08
run_09,5,2.929300000000e-05,919.000000,945.000000,932.000000,6480,7.300716923077e-09
run_09,5,2.929300000000e-05,945.000000,970.000000,957.500000,3967,4.648213240000e-09
run_09,5,2.929300000000e-05,970.000000,996.000000,983.000000,2393,2.696082653846e-09
run_09,5,2.929300000000e-05,996.000000,1021.000000,1008.500000,1285,1.505660200000e-09
run_09,5,2.929300000000e-05,1021.000000,1047.000000,1034.000000,630,7.097919230769e-10
run_09,5,2.929300000000e-05,1047.000000,1072.000000,1059.500000,220,2.577784000000e-10
run_09,5,2.929300000000e-05,1072.000000,1098.000000,1085.000000,89,1.002721923077e-10
run_09,5,2.929300000000e-05,1098.000000,1123.000000,1110.500000,21,2.460612000000e-11
run_09,5,2.929300000000e-05,1123.000000,1149.000000,1136.000000,2,2.253307692308e-12
run_09,5,2.929300000000e-05,1149.000000,1174.000000,1161.500000,0,0.000000000000e+00
run_09,5,2.929300000000e-05,1174.000000,1200.000000,1187.000000,0,0.000000000000e+00
run_10,10,1.171600000000e-04,180.000000,205.000000,192.500000,1438,6.739043200000e-09
run_10,10,1.171600000000e-04,205.000000,231.000000,218.000000,3936,1.773622153846e-08
run_10,10,1.171600000000e-04,231.000000,256.000000,243.500000,6305,2.954775200000e-08
run_10,10,1.171600000000e-04,256.000000,282.000000,269.000000,9899,4.460641692308e-08
run_10,10,1.171600000000e-04,282.000000,307.000000,294.500000,13600,6.373504000000e-08
run_10,10,1.171600000000e-04,307.000000,333.000000,320.000000,18938,8.533754153846e-08
run_10,10,1.171600000000e-04,333.000000,358.000000,345.500000,23001,1.077918864000e-07
run_10,10,1.171600000000e-04,358.000000,384.000000,371.000000,29453,1.327197492308e-07
run_10,10,1.171600000000e-04,384.000000,409.000000,396.500000,33389,1.564742096000e-07
run_10,10,1.171600000000e-04,409.000000,435.000000,422.000000,40278,1.814988646154e-07
run_10,10,1.171600000000e-04,435.000000,460.000000,447.500000,44226,2.072607264000e-07
run_10,10,1.171600000000e-04,460.000000,486.000000,473.000000,50390,2.270650923077e-07
run_10,10,1.171600000000e-04,486.000000,511.000000,498.500000,52310,2.451455840000e-07
run_10,10,1.171600000000e-04,511.000000,537.000000,524.000000,57347,2.584144046154e-07
run_10,10,1.171600000000e-04,537.000000,562.000000,549.500000,57144,2.677996416000e-07
run_10,10,1.171600000000e-04,562.000000,588.000000,575.000000,60712,2.735776123077e-07
run_10,10,1.171600000000e-04,588.000000,613.000000,600.500000,58073,2.721533072000e-07
run_10,10,1.171600000000e-04,613.000000,639.000000,626.000000,59783,2.693913953846e-07
run_10,10,1.171600000000e-04,639.000000,664.000000,651.500000,55009,2.577941776000e-07
run_10,10,1.171600000000e-04,664.000000,690.000000,677.000000,54122,2.438820584615e-07
run_10,10,1.171600000000e-04,690.000000,715.000000,702.500000,48143,2.256173552000e-07
run_10,10,1.171600000000e-04,715.000000,741.000000,728.000000,45345,2.043315461538e-07
run_10,10,1.171600000000e-04,741.000000,766.000000,753.500000,38226,1.791423264000e-07
run_10,10,1.171600000000e-04,766.000000,792.000000,779.000000,34207,1.541420046154e-07
run_10,10,1.171600000000e-04,792.000000,817.000000,804.500000,27482,1.287916448000e-07
run_10,10,1.171600000000e-04,817.000000,843.000000,830.000000,22962,1.034703046154e-07
run_10,10,1.171600000000e-04,843.000000,868.000000,855.500000,17114,8.020304960000e-08
run_10,10,1.171600000000e-04,868.000000,894.000000,881.000000,13193,5.944968769231e-08
run_10,10,1.171600000000e-04,894.000000,919.000000,906.500000,9141,4.283838240000e-08
run_10,10,1.171600000000e-04,919.000000,945.000000,932.000000,6356,2.864111384615e-08
run_10,10,1.171600000000e-04,945.000000,970.000000,957.500000,3874,1.815511360000e-08
run_10,10,1.171600000000e-04,970.000000,996.000000,983.000000,2349,1.058495538462e-08
run_10,10,1.171600000000e-04,996.000000,1021.000000,1008.500000,1244,5.829881600000e-09
run_10,10,1.171600000000e-04,1021.000000,1047.000000,1034.000000,637,2.870420000000e-09
run_10,10,1.171600000000e-04,1047.000000,1072.000000,1059.500000,256,1.199718400000e-09
run_10,10,1.171600000000e-04,1072.000000,1098.000000,1085.000000,94,4.235784615385e-10
run_10,10,1.171600000000e-04,1098.000000,1123.000000,1110.500000,21,9.841440000000e-11
run_10,10,1.171600000000e-04,1123.000000,1149.000000,1136.000000,3,1.351846153846e-11
run_10,10,1.171600000000e-04,1149.000000,1174.000000,1161.500000,0,0.000000000000e+00
run_10,10,1.171600000000e-04,1174.000000,1200.000000,1187.000000,0,0.000000000000e+00
