run,FM2_GeV^-4,fM2_over_Lambda4_TeV^-4,sigma_AQGC_pb,nevents,sigma_fit_pb,ratio_to_fit
run_01,-1.000000000000e-11,-10,1.171700000000e-04,1000000,1.171650602352e-04,1.00004216
run_02,-5.000000000000e-12,-5,2.929000000000e-05,1000000,2.929126505881e-05,0.99995681
run_03,-1.000000000000e-12,-1,1.171800000000e-06,1000000,1.171650602352e-06,1.00012751
run_04,-5.000000000000e-13,-0.5,2.929100000000e-07,1000000,2.929126505881e-07,0.99999095
run_05,-1.000000000000e-13,-0.1,1.171900000000e-08,1000000,1.171650602352e-08,1.00021286
run_06,1.000000000000e-13,0.1,1.171600000000e-08,1000000,1.171650602352e-08,0.99995681
run_07,5.000000000000e-13,0.5,2.929200000000e-07,1000000,2.929126505881e-07,1.00002509
run_08,1.000000000000e-12,1,1.171800000000e-06,1000000,1.171650602352e-06,1.00012751
run_09,5.000000000000e-12,5,2.929300000000e-05,1000000,2.929126505881e-05,1.00005923
run_10,1.000000000000e-11,10,1.171600000000e-04,1000000,1.171650602352e-04,0.99995681
