bin_low_GeV,bin_high_GeV,bin_center_GeV,bin_width_GeV,SM_sigma_bin_pb,EFT_sigma_bin_pb,EFT_over_SM,ratio_stat_err,expected_SM_events,used_in_fit
1.000000000000000000e+01,2.000000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+01,3.963058270818200413e+01,3.996490180401900005e+01,1.008435886454124075e+00,5.044393031650967318e-04,3.963058270818200428e+06,1.000000000000000000e+00
2.000000000000000000e+01,3.500000000000000000e+01,2.750000000000000000e+01,1.500000000000000000e+01,8.246201033616401332e+00,8.340649199599624808e+00,1.011453536676852449e+00,1.107505800602656817e-03,8.246201033616401255e+05,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,4.250000000000000000e+01,1.500000000000000000e+01,1.720649133403426845e+00,1.742243896599937614e+00,1.012550358337028555e+00,2.425840016122378026e-03,1.720649133403426968e+05,1.000000000000000000e+00
5.000000000000000000e+01,7.000000000000000000e+01,6.000000000000000000e+01,2.000000000000000000e+01,6.750040678012965145e-01,6.814837161999420800e-01,1.009599421259418373e+00,3.867420112558732619e-03,6.750040678012964781e+04,1.000000000000000000e+00
7.000000000000000000e+01,1.000000000000000000e+02,8.500000000000000000e+01,3.000000000000000000e+01,2.828171606005795979e-01,2.835465562000081263e-01,1.002579035861471901e+00,5.953967102497630288e-03,2.828171606005795911e+04,1.000000000000000000e+00
1.000000000000000000e+02,1.300000000000000000e+02,1.150000000000000000e+02,3.000000000000000000e+01,8.184208480017218790e-02,8.087449319997119801e-02,9.881773344048666585e-01,1.098826443498921238e-02,8.184208480017218790e+03,1.000000000000000000e+00
1.300000000000000000e+02,1.700000000000000000e+02,1.500000000000000000e+02,4.000000000000000000e+01,3.579066040008171967e-02,3.681038520000612380e-02,1.028491365862644891e+00,1.695178630905490313e-02,3.579066040008171967e+03,1.000000000000000000e+00
1.700000000000000000e+02,2.100000000000000000e+02,1.900000000000000000e+02,4.000000000000000000e+01,1.234928680001701196e-02,1.333076760000295735e-02,1.079476719253503303e+00,2.956553225638557797e-02,1.234928680001701196e+03,1.000000000000000000e+00
2.100000000000000000e+02,2.600000000000000000e+02,2.350000000000000000e+02,5.000000000000000000e+01,5.992142200007322117e-03,6.189641200009532440e-03,1.032959665076367717e+00,4.151935768364854729e-02,5.992142200007322117e+02,1.000000000000000000e+00
2.600000000000000000e+02,3.100000000000000000e+02,2.850000000000000000e+02,5.000000000000000000e+01,2.017666400021767004e-03,2.281465799981674536e-03,1.130744804967293682e+00,7.486134397281246633e-02,2.017666400021767004e+02,1.000000000000000000e+00
3.100000000000000000e+02,3.600000000000000000e+02,3.350000000000000000e+02,5.000000000000000000e+01,8.111202000051775940e-04,8.593808000156855087e-04,1.059498703164093225e+00,1.142898351158785075e-01,8.111202000051775940e+01,1.000000000000000000e+00
3.600000000000000000e+02,4.200000000000000000e+02,3.900000000000000000e+02,6.000000000000000000e+01,5.069564000166337792e-04,4.910775999960037552e-04,9.686781742569794407e-01,1.382306824687074553e-01,5.069564000166337792e+01,1.000000000000000000e+00
4.200000000000000000e+02,5.000000000000000000e+02,4.600000000000000000e+02,8.000000000000000000e+01,3.041724000141243778e-04,2.250775999925735960e-04,7.399672027512095296e-01,1.559718894699156366e-01,3.041724000141243778e+01,1.000000000000000000e+00
