observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,0.00000000e+00,2.50000000e+01,1.25000000e+01,1,9.100800000000e-12
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.50000000e+01,5.00000000e+01,3.75000000e+01,13,1.183104000000e-10
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,5.00000000e+01,7.50000000e+01,6.25000000e+01,83,7.553664000000e-10
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,7.50000000e+01,1.00000000e+02,8.75000000e+01,339,3.085171200000e-09
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.00000000e+02,1.25000000e+02,1.12500000e+02,895,8.145216000000e-09
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.25000000e+02,1.50000000e+02,1.37500000e+02,1749,1.591729920000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.50000000e+02,1.75000000e+02,1.62500000e+02,3167,2.882223360000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.75000000e+02,2.00000000e+02,1.87500000e+02,5030,4.577702400000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.00000000e+02,2.25000000e+02,2.12500000e+02,7639,6.952101120000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.25000000e+02,2.50000000e+02,2.37500000e+02,10868,9.890749440000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.50000000e+02,2.75000000e+02,2.62500000e+02,14294,1.300868352000e-07
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.75000000e+02,3.00000000e+02,2.87500000e+02,18076,1.645060608000e-07
