observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-6.00000000e+00,-5.75000000e+00,-5.87500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.75000000e+00,-5.50000000e+00,-5.62500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.50000000e+00,-5.25000000e+00,-5.37500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.25000000e+00,-5.00000000e+00,-5.12500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.00000000e+00,-4.75000000e+00,-4.87500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.75000000e+00,-4.50000000e+00,-4.62500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.50000000e+00,-4.25000000e+00,-4.37500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.25000000e+00,-4.00000000e+00,-4.12500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.00000000e+00,-3.75000000e+00,-3.87500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.75000000e+00,-3.50000000e+00,-3.62500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.50000000e+00,-3.25000000e+00,-3.37500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.25000000e+00,-3.00000000e+00,-3.12500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.00000000e+00,-2.75000000e+00,-2.87500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.75000000e+00,-2.50000000e+00,-2.62500000e+00,0,0.000000000000e+00
Yaa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.50000000e+00,-2.25000000e+00,-2.37500000e+00,0,0.000000000000e+00
