observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-1.00000000e+01,-9.75000000e+00,-9.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-9.75000000e+00,-9.50000000e+00,-9.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-9.50000000e+00,-9.25000000e+00,-9.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-9.25000000e+00,-9.00000000e+00,-9.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-9.00000000e+00,-8.75000000e+00,-8.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-8.75000000e+00,-8.50000000e+00,-8.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-8.50000000e+00,-8.25000000e+00,-8.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-8.25000000e+00,-8.00000000e+00,-8.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-8.00000000e+00,-7.75000000e+00,-7.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.75000000e+00,-7.50000000e+00,-7.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.50000000e+00,-7.25000000e+00,-7.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.25000000e+00,-7.00000000e+00,-7.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.00000000e+00,-6.75000000e+00,-6.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-6.75000000e+00,-6.50000000e+00,-6.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-6.50000000e+00,-6.25000000e+00,-6.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-6.25000000e+00,-6.00000000e+00,-6.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-6.00000000e+00,-5.75000000e+00,-5.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.75000000e+00,-5.50000000e+00,-5.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.50000000e+00,-5.25000000e+00,-5.37500000e+00,1,9.100800000000e-10
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.25000000e+00,-5.00000000e+00,-5.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.00000000e+00,-4.75000000e+00,-4.87500000e+00,2,1.820160000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.75000000e+00,-4.50000000e+00,-4.62500000e+00,4,3.640320000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.50000000e+00,-4.25000000e+00,-4.37500000e+00,9,8.190720000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.25000000e+00,-4.00000000e+00,-4.12500000e+00,3,2.730240000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-4.00000000e+00,-3.75000000e+00,-3.87500000e+00,11,1.001088000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.75000000e+00,-3.50000000e+00,-3.62500000e+00,28,2.548224000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.50000000e+00,-3.25000000e+00,-3.37500000e+00,36,3.276288000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.25000000e+00,-3.00000000e+00,-3.12500000e+00,61,5.551488000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-3.00000000e+00,-2.75000000e+00,-2.87500000e+00,99,9.009792000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.75000000e+00,-2.50000000e+00,-2.62500000e+00,150,1.365120000000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.50000000e+00,-2.25000000e+00,-2.37500000e+00,243,2.211494400000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.25000000e+00,-2.00000000e+00,-2.12500000e+00,424,3.858739200000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.00000000e+00,-1.75000000e+00,-1.87500000e+00,677,6.161241600000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-1.75000000e+00,-1.50000000e+00,-1.62500000e+00,1158,1.053872640000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-1.50000000e+00,-1.25000000e+00,-1.37500000e+00,1860,1.692748800000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-1.25000000e+00,-1.00000000e+00,-1.12500000e+00,3086,2.808506880000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-1.00000000e+00,-7.50000000e-01,-8.75000000e-01,5006,4.555860480000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.50000000e-01,-5.00000000e-01,-6.25000000e-01,8168,7.433533440000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.00000000e-01,-2.50000000e-01,-3.75000000e-01,13148,1.196573184000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.50000000e-01,0.00000000e+00,-1.25000000e-01,20618,1.876402944000e-05
