Yll_MPL	Elastic(EPA)	Inelastic(EPA)
-1.000000e+01	0.000000e+00	0.000000e+00
-9.933775e+00	0.000000e+00	0.000000e+00
-9.867550e+00	0.000000e+00	0.000000e+00
-9.801325e+00	0.000000e+00	0.000000e+00
-9.735099e+00	0.000000e+00	0.000000e+00
-9.668874e+00	0.000000e+00	0.000000e+00
-9.602649e+00	0.000000e+00	0.000000e+00
-9.536424e+00	0.000000e+00	0.000000e+00
-9.470199e+00	0.000000e+00	0.000000e+00
-9.403974e+00	0.000000e+00	0.000000e+00
-9.337748e+00	0.000000e+00	0.000000e+00
-9.271523e+00	0.000000e+00	0.000000e+00
-9.205298e+00	0.000000e+00	0.000000e+00
-9.139073e+00	0.000000e+00	0.000000e+00
-9.072848e+00	0.000000e+00	0.000000e+00
-9.006623e+00	0.000000e+00	0.000000e+00
-8.940397e+00	0.000000e+00	0.000000e+00
-8.874172e+00	0.000000e+00	0.000000e+00
-8.807947e+00	0.000000e+00	0.000000e+00
-8.741722e+00	0.000000e+00	0.000000e+00
-8.675497e+00	0.000000e+00	0.000000e+00
-8.609272e+00	0.000000e+00	0.000000e+00
-8.543046e+00	0.000000e+00	0.000000e+00
-8.476821e+00	0.000000e+00	0.000000e+00
-8.410596e+00	0.000000e+00	0.000000e+00
-8.344371e+00	0.000000e+00	0.000000e+00
-8.278146e+00	0.000000e+00	0.000000e+00
-8.211921e+00	0.000000e+00	0.000000e+00
-8.145695e+00	0.000000e+00	0.000000e+00
-8.079470e+00	0.000000e+00	0.000000e+00
-8.013245e+00	0.000000e+00	0.000000e+00
-7.947020e+00	0.000000e+00	0.000000e+00
-7.880795e+00	0.000000e+00	0.000000e+00
-7.814570e+00	0.000000e+00	0.000000e+00
-7.748344e+00	0.000000e+00	0.000000e+00
-7.682119e+00	0.000000e+00	0.000000e+00
-7.615894e+00	0.000000e+00	0.000000e+00
-7.549669e+00	0.000000e+00	0.000000e+00
-7.483444e+00	0.000000e+00	0.000000e+00
-7.417219e+00	0.000000e+00	0.000000e+00
-7.350993e+00	0.000000e+00	0.000000e+00
-7.284768e+00	0.000000e+00	0.000000e+00
-7.218543e+00	0.000000e+00	0.000000e+00
-7.152318e+00	0.000000e+00	0.000000e+00
-7.086093e+00	0.000000e+00	0.000000e+00
-7.019868e+00	0.000000e+00	0.000000e+00
-6.953642e+00	0.000000e+00	0.000000e+00
-6.887417e+00	0.000000e+00	0.000000e+00
-6.821192e+00	0.000000e+00	0.000000e+00
-6.754967e+00	0.000000e+00	0.000000e+00
-6.688742e+00	0.000000e+00	0.000000e+00
-6.622517e+00	0.000000e+00	0.000000e+00
-6.556291e+00	0.000000e+00	0.000000e+00
-6.490066e+00	0.000000e+00	0.000000e+00
-6.423841e+00	0.000000e+00	0.000000e+00
-6.357616e+00	0.000000e+00	0.000000e+00
-6.291391e+00	0.000000e+00	0.000000e+00
-6.225166e+00	0.000000e+00	0.000000e+00
-6.158940e+00	0.000000e+00	0.000000e+00
-6.092715e+00	0.000000e+00	0.000000e+00
-6.026490e+00	0.000000e+00	0.000000e+00
-5.960265e+00	0.000000e+00	0.000000e+00
-5.894040e+00	0.000000e+00	0.000000e+00
-5.827815e+00	0.000000e+00	0.000000e+00
-5.761589e+00	0.000000e+00	0.000000e+00
-5.695364e+00	0.000000e+00	0.000000e+00
-5.629139e+00	0.000000e+00	0.000000e+00
-5.562914e+00	0.000000e+00	0.000000e+00
-5.496689e+00	0.000000e+00	0.000000e+00
-5.430464e+00	0.000000e+00	0.000000e+00
-5.364238e+00	0.000000e+00	0.000000e+00
-5.298013e+00	0.000000e+00	0.000000e+00
-5.231788e+00	0.000000e+00	0.000000e+00
-5.165563e+00	0.000000e+00	0.000000e+00
-5.099338e+00	0.000000e+00	0.000000e+00
-5.033113e+00	0.000000e+00	0.000000e+00
-4.966887e+00	0.000000e+00	0.000000e+00
-4.900662e+00	0.000000e+00	0.000000e+00
-4.834437e+00	0.000000e+00	0.000000e+00
-4.768212e+00	0.000000e+00	0.000000e+00
-4.701987e+00	0.000000e+00	0.000000e+00
-4.635762e+00	0.000000e+00	0.000000e+00
-4.569536e+00	0.000000e+00	0.000000e+00
-4.503311e+00	0.000000e+00	0.000000e+00
-4.437086e+00	0.000000e+00	0.000000e+00
-4.370861e+00	0.000000e+00	0.000000e+00
-4.304636e+00	0.000000e+00	0.000000e+00
-4.238411e+00	0.000000e+00	0.000000e+00
-4.172185e+00	0.000000e+00	0.000000e+00
-4.105960e+00	0.000000e+00	0.000000e+00
-4.039735e+00	0.000000e+00	0.000000e+00
-3.973510e+00	0.000000e+00	0.000000e+00
-3.907285e+00	0.000000e+00	0.000000e+00
-3.841060e+00	0.000000e+00	0.000000e+00
-3.774834e+00	0.000000e+00	0.000000e+00
-3.708609e+00	0.000000e+00	0.000000e+00
-3.642384e+00	0.000000e+00	0.000000e+00
-3.576159e+00	0.000000e+00	0.000000e+00
-3.509934e+00	0.000000e+00	0.000000e+00
-3.443709e+00	0.000000e+00	0.000000e+00
-3.377483e+00	0.000000e+00	0.000000e+00
-3.311258e+00	0.000000e+00	0.000000e+00
-3.245033e+00	0.000000e+00	0.000000e+00
-3.178808e+00	0.000000e+00	0.000000e+00
-3.112583e+00	0.000000e+00	0.000000e+00
-3.046358e+00	0.000000e+00	0.000000e+00
-2.980132e+00	0.000000e+00	0.000000e+00
-2.913907e+00	0.000000e+00	0.000000e+00
-2.847682e+00	0.000000e+00	0.000000e+00
-2.781457e+00	0.000000e+00	0.000000e+00
-2.715232e+00	0.000000e+00	0.000000e+00
-2.649007e+00	0.000000e+00	0.000000e+00
-2.582781e+00	0.000000e+00	0.000000e+00
-2.516556e+00	0.000000e+00	0.000000e+00
-2.450331e+00	0.000000e+00	0.000000e+00
-2.384106e+00	0.000000e+00	0.000000e+00
-2.317881e+00	0.000000e+00	0.000000e+00
-2.251656e+00	0.000000e+00	0.000000e+00
-2.185430e+00	0.000000e+00	0.000000e+00
-2.119205e+00	0.000000e+00	0.000000e+00
-2.052980e+00	1.966447e+00	6.448506e-01
-1.986755e+00	2.418064e+00	8.016661e-01
-1.920530e+00	2.840971e+00	9.506127e-01
-1.854305e+00	3.238332e+00	1.098326e+00
-1.788079e+00	3.613010e+00	1.253093e+00
-1.721854e+00	3.967469e+00	1.373456e+00
-1.655629e+00	4.303772e+00	1.505940e+00
-1.589404e+00	4.623613e+00	1.634683e+00
-1.523179e+00	4.928361e+00	1.760915e+00
-1.456954e+00	5.219107e+00	1.903024e+00
-1.390728e+00	5.496714e+00	2.004017e+00
-1.324503e+00	5.761856e+00	2.122481e+00
-1.258278e+00	6.015055e+00	2.238139e+00
-1.192053e+00	6.256717e+00	2.350488e+00
-1.125828e+00	6.487154e+00	2.465343e+00
-1.059603e+00	6.706611e+00	2.568293e+00
-9.933775e-01	6.915282e+00	2.684937e+00
-9.271523e-01	7.113327e+00	2.780439e+00
-8.609272e-01	7.300886e+00	2.881366e+00
-7.947020e-01	7.478081e+00	2.978764e+00
-7.284768e-01	7.645034e+00	3.076757e+00
-6.622517e-01	7.801864e+00	3.165196e+00
-5.960265e-01	7.948695e+00	3.260981e+00
-5.298013e-01	8.085659e+00	3.348004e+00
-4.635762e-01	8.212895e+00	3.432584e+00
-3.973510e-01	8.330553e+00	3.513382e+00
-3.311258e-01	8.438793e+00	3.594989e+00
-2.649007e-01	8.537786e+00	3.673136e+00
-1.986755e-01	8.627711e+00	3.740827e+00
-1.324503e-01	8.708757e+00	3.815221e+00
-6.622517e-02	8.781119e+00	3.883105e+00
0.000000e+00	8.845000e+00	3.948837e+00
6.622517e-02	8.900609e+00	4.009698e+00
1.324503e-01	8.948159e+00	4.067646e+00
1.986755e-01	8.987865e+00	4.124382e+00
2.649007e-01	9.019944e+00	4.176305e+00
3.311258e-01	9.044615e+00	4.226430e+00
3.973510e-01	9.062098e+00	4.273320e+00
4.635762e-01	9.072608e+00	4.316926e+00
5.298013e-01	9.076362e+00	4.357690e+00
5.960265e-01	9.073572e+00	4.395435e+00
6.622517e-01	9.064447e+00	4.429974e+00
7.284768e-01	9.049194e+00	4.461632e+00
7.947020e-01	9.028012e+00	4.490698e+00
8.609272e-01	9.001097e+00	4.516273e+00
9.271523e-01	8.968641e+00	4.539557e+00
9.933775e-01	8.930827e+00	4.559326e+00
1.059603e+00	8.887837e+00	4.576811e+00
1.125828e+00	8.839843e+00	4.591122e+00
1.192053e+00	8.787012e+00	4.602333e+00
1.258278e+00	8.729506e+00	4.610945e+00
1.324503e+00	8.667482e+00	4.616421e+00
1.390728e+00	8.601088e+00	4.619048e+00
1.456954e+00	8.530469e+00	4.619003e+00
1.523179e+00	8.455763e+00	4.615907e+00
1.589404e+00	8.377102e+00	4.609845e+00
1.655629e+00	8.294614e+00	4.601326e+00
1.721854e+00	8.208422e+00	4.589471e+00
1.788079e+00	8.118641e+00	4.575423e+00
1.854305e+00	8.025387e+00	4.558149e+00
1.920530e+00	7.928766e+00	4.537850e+00
1.986755e+00	7.828884e+00	4.515376e+00
2.052980e+00	7.725841e+00	4.489372e+00
2.119205e+00	7.619735e+00	4.461145e+00
2.185430e+00	7.510661e+00	4.429822e+00
2.251656e+00	7.398712e+00	4.395952e+00
2.317881e+00	7.283979e+00	4.359226e+00
2.384106e+00	7.166550e+00	4.319321e+00
2.450331e+00	7.046513e+00	4.277416e+00
2.516556e+00	6.923954e+00	4.232364e+00
2.582781e+00	6.798961e+00	4.184429e+00
2.649007e+00	6.671618e+00	4.134242e+00
2.715232e+00	6.542014e+00	4.081069e+00
2.781457e+00	6.410236e+00	4.025330e+00
2.847682e+00	6.276374e+00	3.967118e+00
2.913907e+00	6.140521e+00	3.905868e+00
2.980132e+00	6.002770e+00	3.842357e+00
3.046358e+00	5.863220e+00	3.776677e+00
3.112583e+00	5.721970e+00	3.708167e+00
3.178808e+00	5.579127e+00	3.637226e+00
3.245033e+00	5.434800e+00	3.563922e+00
3.311258e+00	5.289104e+00	3.488651e+00
3.377483e+00	5.142159e+00	3.410834e+00
3.443709e+00	4.994091e+00	3.330472e+00
3.509934e+00	4.845033e+00	3.248553e+00
3.576159e+00	4.695124e+00	3.164569e+00
3.642384e+00	4.544512e+00	3.078600e+00
3.708609e+00	4.393349e+00	2.990809e+00
3.774834e+00	4.241799e+00	2.901006e+00
3.841060e+00	4.090031e+00	2.809832e+00
3.907285e+00	3.938223e+00	2.717231e+00
3.973510e+00	3.786560e+00	2.622858e+00
4.039735e+00	3.635237e+00	2.527691e+00
4.105960e+00	3.484454e+00	2.431235e+00
4.172185e+00	3.334421e+00	2.333802e+00
4.238411e+00	3.185354e+00	2.235962e+00
4.304636e+00	3.037475e+00	2.136874e+00
4.370861e+00	2.891011e+00	2.037898e+00
4.437086e+00	2.746193e+00	1.938586e+00
4.503311e+00	2.603259e+00	1.839080e+00
4.569536e+00	2.462443e+00	1.740210e+00
4.635762e+00	2.323984e+00	1.642130e+00
4.701987e+00	2.188118e+00	1.544467e+00
4.768212e+00	2.055076e+00	1.447888e+00
4.834437e+00	1.925087e+00	1.352883e+00
4.900662e+00	1.798368e+00	1.259641e+00
4.966887e+00	1.675130e+00	1.168468e+00
5.033113e+00	1.555570e+00	1.079275e+00
5.099338e+00	1.439870e+00	9.926465e-01
5.165563e+00	1.328197e+00	9.085453e-01
5.231788e+00	1.220699e+00	8.274009e-01
5.298013e+00	1.117503e+00	7.493032e-01
5.364238e+00	1.018719e+00	6.745631e-01
5.430464e+00	9.244332e-01	6.033173e-01
5.496689e+00	8.347119e-01	5.357318e-01
5.562914e+00	7.496031e-01	4.720180e-01
5.629139e+00	6.691377e-01	4.123042e-01
5.695364e+00	5.933332e-01	3.568542e-01
5.761589e+00	5.221972e-01	3.057797e-01
5.827815e+00	4.557318e-01	2.588895e-01
5.894040e+00	3.939384e-01	2.164786e-01
5.960265e+00	3.368216e-01	1.784869e-01
6.026490e+00	2.843907e-01	1.449284e-01
6.092715e+00	2.366620e-01	1.155889e-01
6.158940e+00	1.936538e-01	9.038747e-02
6.225166e+00	1.553801e-01	6.907022e-02
6.291391e+00	1.218375e-01	5.142970e-02
6.357616e+00	9.298871e-02	3.715671e-02
6.423841e+00	6.874166e-02	2.591553e-02
6.490066e+00	4.892751e-02	1.732273e-02
6.556291e+00	3.328210e-02	1.100641e-02
6.622517e+00	2.143518e-02	6.567819e-03
6.688742e+00	1.291317e-02	3.622433e-03
6.754967e+00	7.159058e-03	1.800875e-03
6.821192e+00	3.569753e-03	7.790907e-04
6.887417e+00	1.546645e-03	2.758416e-04
6.953642e+00	5.497326e-04	0.000000e+00
7.019868e+00	0.000000e+00	0.000000e+00
7.086093e+00	0.000000e+00	0.000000e+00
7.152318e+00	0.000000e+00	0.000000e+00
7.218543e+00	0.000000e+00	0.000000e+00
7.284768e+00	0.000000e+00	0.000000e+00
7.350993e+00	0.000000e+00	0.000000e+00
7.417219e+00	0.000000e+00	0.000000e+00
7.483444e+00	0.000000e+00	0.000000e+00
7.549669e+00	0.000000e+00	0.000000e+00
7.615894e+00	0.000000e+00	0.000000e+00
7.682119e+00	0.000000e+00	0.000000e+00
7.748344e+00	0.000000e+00	0.000000e+00
7.814570e+00	0.000000e+00	0.000000e+00
7.880795e+00	0.000000e+00	0.000000e+00
7.947020e+00	0.000000e+00	0.000000e+00
8.013245e+00	0.000000e+00	0.000000e+00
8.079470e+00	0.000000e+00	0.000000e+00
8.145695e+00	0.000000e+00	0.000000e+00
8.211921e+00	0.000000e+00	0.000000e+00
8.278146e+00	0.000000e+00	0.000000e+00
8.344371e+00	0.000000e+00	0.000000e+00
8.410596e+00	0.000000e+00	0.000000e+00
8.476821e+00	0.000000e+00	0.000000e+00
8.543046e+00	0.000000e+00	0.000000e+00
8.609272e+00	0.000000e+00	0.000000e+00
8.675497e+00	0.000000e+00	0.000000e+00
8.741722e+00	0.000000e+00	0.000000e+00
8.807947e+00	0.000000e+00	0.000000e+00
8.874172e+00	0.000000e+00	0.000000e+00
8.940397e+00	0.000000e+00	0.000000e+00
9.006623e+00	0.000000e+00	0.000000e+00
9.072848e+00	0.000000e+00	0.000000e+00
9.139073e+00	0.000000e+00	0.000000e+00
9.205298e+00	0.000000e+00	0.000000e+00
9.271523e+00	0.000000e+00	0.000000e+00
9.337748e+00	0.000000e+00	0.000000e+00
9.403974e+00	0.000000e+00	0.000000e+00
9.470199e+00	0.000000e+00	0.000000e+00
9.536424e+00	0.000000e+00	0.000000e+00
9.602649e+00	0.000000e+00	0.000000e+00
9.668874e+00	0.000000e+00	0.000000e+00
9.735099e+00	0.000000e+00	0.000000e+00
9.801325e+00	0.000000e+00	0.000000e+00
9.867550e+00	0.000000e+00	0.000000e+00
9.933775e+00	0.000000e+00	0.000000e+00
1.000000e+01	0.000000e+00	0.000000e+00
