bin_low,bin_high,bin_center,dsigma_dY_W10_pb,dsigma_dY_W100_pb
-6.00000000e+00,-5.82500000e+00,-5.91250000e+00,0.000000000000e+00,0.000000000000e+00
-5.82500000e+00,-5.65000000e+00,-5.73750000e+00,0.000000000000e+00,0.000000000000e+00
-5.65000000e+00,-5.47500000e+00,-5.56250000e+00,0.000000000000e+00,0.000000000000e+00
-5.47500000e+00,-5.30000000e+00,-5.38750000e+00,0.000000000000e+00,0.000000000000e+00
-5.30000000e+00,-5.12500000e+00,-5.21250000e+00,0.000000000000e+00,0.000000000000e+00
-5.12500000e+00,-4.95000000e+00,-5.03750000e+00,0.000000000000e+00,0.000000000000e+00
-4.95000000e+00,-4.77500000e+00,-4.86250000e+00,0.000000000000e+00,0.000000000000e+00
-4.77500000e+00,-4.60000000e+00,-4.68750000e+00,0.000000000000e+00,0.000000000000e+00
-4.60000000e+00,-4.42500000e+00,-4.51250000e+00,0.000000000000e+00,0.000000000000e+00
-4.42500000e+00,-4.25000000e+00,-4.33750000e+00,0.000000000000e+00,0.000000000000e+00
-4.25000000e+00,-4.07500000e+00,-4.16250000e+00,0.000000000000e+00,0.000000000000e+00
-4.07500000e+00,-3.90000000e+00,-3.98750000e+00,0.000000000000e+00,0.000000000000e+00
-3.90000000e+00,-3.72500000e+00,-3.81250000e+00,0.000000000000e+00,0.000000000000e+00
-3.72500000e+00,-3.55000000e+00,-3.63750000e+00,0.000000000000e+00,0.000000000000e+00
-3.55000000e+00,-3.37500000e+00,-3.46250000e+00,0.000000000000e+00,0.000000000000e+00
-3.37500000e+00,-3.20000000e+00,-3.28750000e+00,0.000000000000e+00,0.000000000000e+00
-3.20000000e+00,-3.02500000e+00,-3.11250000e+00,0.000000000000e+00,0.000000000000e+00
-3.02500000e+00,-2.85000000e+00,-2.93750000e+00,0.000000000000e+00,0.000000000000e+00
-2.85000000e+00,-2.67500000e+00,-2.76250000e+00,0.000000000000e+00,0.000000000000e+00
-2.67500000e+00,-2.50000000e+00,-2.58750000e+00,0.000000000000e+00,0.000000000000e+00
-2.50000000e+00,-2.32500000e+00,-2.41250000e+00,0.000000000000e+00,0.000000000000e+00
-2.32500000e+00,-2.15000000e+00,-2.23750000e+00,7.600464020664e-05,0.000000000000e+00
-2.15000000e+00,-1.97500000e+00,-2.06250000e+00,5.291703520493e-04,0.000000000000e+00
-1.97500000e+00,-1.80000000e+00,-1.88750000e+00,6.486052695401e-04,0.000000000000e+00
-1.80000000e+00,-1.62500000e+00,-1.71250000e+00,8.211284014905e-04,0.000000000000e+00
-1.62500000e+00,-1.45000000e+00,-1.53750000e+00,1.147681412423e-03,0.000000000000e+00
-1.45000000e+00,-1.27500000e+00,-1.36250000e+00,1.076774554405e-03,0.000000000000e+00
-1.27500000e+00,-1.10000000e+00,-1.18750000e+00,1.627651694897e-03,0.000000000000e+00
-1.10000000e+00,-9.25000000e-01,-1.01250000e+00,1.258131885155e-03,0.000000000000e+00
-9.25000000e-01,-7.50000000e-01,-8.37500000e-01,1.660781610334e-03,0.000000000000e+00
-7.50000000e-01,-5.75000000e-01,-6.62500000e-01,1.702676019157e-03,0.000000000000e+00
-5.75000000e-01,-4.00000000e-01,-4.87500000e-01,1.950396895108e-03,0.000000000000e+00
-4.00000000e-01,-2.25000000e-01,-3.12500000e-01,2.449750565439e-03,0.000000000000e+00
-2.25000000e-01,-5.00000000e-02,-1.37500000e-01,1.711074465965e-03,0.000000000000e+00
-5.00000000e-02,1.25000000e-01,3.75000000e-02,1.996236022386e-03,2.338874649393e-06
1.25000000e-01,3.00000000e-01,2.12500000e-01,2.169366972257e-03,8.780757085064e-06
3.00000000e-01,4.75000000e-01,3.87500000e-01,1.950100948832e-03,1.464069067133e-05
4.75000000e-01,6.50000000e-01,5.62500000e-01,1.779653490350e-02,1.678047696859e-05
6.50000000e-01,8.25000000e-01,7.37500000e-01,1.886653757930e-03,1.915785749344e-05
8.25000000e-01,1.00000000e+00,9.12500000e-01,1.561143021069e-03,2.060103428674e-05
1.00000000e+00,1.17500000e+00,1.08750000e+00,1.708191623023e-03,2.113464703102e-05
1.17500000e+00,1.35000000e+00,1.26250000e+00,1.606898611171e-03,2.699712054015e-05
1.35000000e+00,1.52500000e+00,1.43750000e+00,1.782786018844e-03,2.633082354630e-05
1.52500000e+00,1.70000000e+00,1.61250000e+00,1.408388125372e-03,2.539193500133e-05
1.70000000e+00,1.87500000e+00,1.78750000e+00,1.563408884186e-03,2.133676448648e-05
1.87500000e+00,2.05000000e+00,1.96250000e+00,1.711453800581e-03,2.299238384400e-05
2.05000000e+00,2.22500000e+00,2.13750000e+00,1.525356296528e-03,2.201528237456e-05
2.22500000e+00,2.40000000e+00,2.31250000e+00,1.475068740544e-03,1.750129984697e-05
2.40000000e+00,2.57500000e+00,2.48750000e+00,1.254486271729e-03,1.433702187169e-05
2.57500000e+00,2.75000000e+00,2.66250000e+00,1.578814687367e-03,1.210655888835e-05
2.75000000e+00,2.92500000e+00,2.83750000e+00,1.387497396520e-03,1.042781514508e-05
2.92500000e+00,3.10000000e+00,3.01250000e+00,1.126128146618e-03,7.376579738486e-06
3.10000000e+00,3.27500000e+00,3.18750000e+00,1.178469375261e-03,7.108262007794e-06
3.27500000e+00,3.45000000e+00,3.36250000e+00,3.838380786759e-03,4.536399290585e-06
3.45000000e+00,3.62500000e+00,3.53750000e+00,9.679827402143e-04,2.389792701945e-06
3.62500000e+00,3.80000000e+00,3.71250000e+00,8.358231103830e-04,1.342244339771e-06
3.80000000e+00,3.97500000e+00,3.88750000e+00,7.560848898464e-04,7.920679886286e-07
3.97500000e+00,4.15000000e+00,4.06250000e+00,7.697029860194e-04,2.622943645596e-07
4.15000000e+00,4.32500000e+00,4.23750000e+00,6.470985388122e-04,1.182016497760e-07
4.32500000e+00,4.50000000e+00,4.41250000e+00,5.863010637691e-04,3.189292616840e-08
4.50000000e+00,4.67500000e+00,4.58750000e+00,5.197547107388e-04,4.172111676607e-09
4.67500000e+00,4.85000000e+00,4.76250000e+00,4.537849794335e-04,1.319458011564e-10
4.85000000e+00,5.02500000e+00,4.93750000e+00,3.497966965768e-04,6.146479446593e-14
5.02500000e+00,5.20000000e+00,5.11250000e+00,2.777976988978e-04,0.000000000000e+00
5.20000000e+00,5.37500000e+00,5.28750000e+00,2.100741414109e-04,0.000000000000e+00
5.37500000e+00,5.55000000e+00,5.46250000e+00,1.411707655209e-04,0.000000000000e+00
5.55000000e+00,5.72500000e+00,5.63750000e+00,1.201333187242e-04,0.000000000000e+00
5.72500000e+00,5.90000000e+00,5.81250000e+00,6.016001800626e-05,0.000000000000e+00
5.90000000e+00,6.07500000e+00,5.98750000e+00,4.441880237663e-05,0.000000000000e+00
6.07500000e+00,6.25000000e+00,6.16250000e+00,2.760816014128e-05,0.000000000000e+00
6.25000000e+00,6.42500000e+00,6.33750000e+00,1.016932187044e-05,0.000000000000e+00
6.42500000e+00,6.60000000e+00,6.51250000e+00,3.336495009218e-06,0.000000000000e+00
6.60000000e+00,6.77500000e+00,6.68750000e+00,6.003659340212e-07,0.000000000000e+00
6.77500000e+00,6.95000000e+00,6.86250000e+00,1.088860706284e-07,0.000000000000e+00
6.95000000e+00,7.12500000e+00,7.03750000e+00,6.434536719474e-09,0.000000000000e+00
7.12500000e+00,7.30000000e+00,7.21250000e+00,4.780279690199e-12,0.000000000000e+00
7.30000000e+00,7.47500000e+00,7.38750000e+00,0.000000000000e+00,0.000000000000e+00
7.47500000e+00,7.65000000e+00,7.56250000e+00,0.000000000000e+00,0.000000000000e+00
7.65000000e+00,7.82500000e+00,7.73750000e+00,0.000000000000e+00,0.000000000000e+00
7.82500000e+00,8.00000000e+00,7.91250000e+00,0.000000000000e+00,0.000000000000e+00
