bin_low,bin_high,bin_center,dsigma_deta_gamma_pb
-1.00000000e+01,-9.00000000e+00,-9.50000000e+00,0.000000000000e+00
-9.00000000e+00,-8.00000000e+00,-8.50000000e+00,0.000000000000e+00
-8.00000000e+00,-7.00000000e+00,-7.50000000e+00,0.000000000000e+00
-7.00000000e+00,-6.00000000e+00,-6.50000000e+00,9.301880723483e-07
-6.00000000e+00,-5.00000000e+00,-5.50000000e+00,1.847094650697e-04
-5.00000000e+00,-4.00000000e+00,-4.50000000e+00,1.502695925076e-04
-4.00000000e+00,-3.00000000e+00,-3.50000000e+00,5.239205136194e-05
-3.00000000e+00,-2.00000000e+00,-2.50000000e+00,1.180334290389e-02
-2.00000000e+00,-1.00000000e+00,-1.50000000e+00,1.898121674554e-04
-1.00000000e+00,0.00000000e+00,-5.00000000e-01,2.464445325864e-04
0.00000000e+00,1.00000000e+00,5.00000000e-01,2.852477048586e-04
1.00000000e+00,2.00000000e+00,1.50000000e+00,2.833987825284e-04
2.00000000e+00,3.00000000e+00,2.50000000e+00,2.469814242600e-04
3.00000000e+00,4.00000000e+00,3.50000000e+00,1.857771373996e-04
4.00000000e+00,5.00000000e+00,4.50000000e+00,1.263621605857e-04
5.00000000e+00,6.00000000e+00,5.50000000e+00,8.262560846265e-05
6.00000000e+00,7.00000000e+00,6.50000000e+00,1.430458165229e-04
7.00000000e+00,8.00000000e+00,7.50000000e+00,1.761678503842e-04
8.00000000e+00,9.00000000e+00,8.50000000e+00,3.389515605574e-06
9.00000000e+00,1.00000000e+01,9.50000000e+00,5.548765470900e-06
